"[0, 0, 0, 0, 0, 0, 0]","[[8.939214, 8.75446813, 8.46014024]]","[[0.00000000e+00, 3.67613871e+01, 0.00000000e+00, 3.70501382e-01]
, [1.42315342e+01, 4.15553151e+00, 5.92469568e-03, 4.41124906e-04]
, [8.34978296e+00, 1.65488946e+00, 9.47767919e-04, 3.19698195e-05]]"
"[0, 0, 0, 0, 0, 0, 1]","[[8.93987487, 8.65204793, 8.36225185]]","[[0.00000000e+00, 2.96831087e+01, 0.00000000e+00, 2.28772003e-01]
, [1.29073998e+01, 4.00928304e+00, 4.89566957e-03, 4.46992118e-04]
, [6.89728124e+00, 1.62477663e+00, 5.87009126e-04, 2.69836774e-05]]"
"[0, 0, 0, 0, 0, 1, 0]","[[8.93572823, 8.64738358, 8.42398416]]","[[0.00000000e+00, 5.59430978e+01, 0.00000000e+00, 8.77052715e-01]
, [1.24913700e+01, 3.69831539e+00, 4.30928546e-03, 3.57233830e-04]
, [6.96201322e+00, 3.01395638e+00, 5.28432080e-04, 9.27549947e-05]]"
"[0, 0, 0, 0, 0, 1, 1]","[[8.93927547, 8.65840689, 8.25945595]]","[[0.00000000e+00, 3.18714241e+01, 0.00000000e+00, 2.70371364e-01]
, [1.25794257e+01, 4.54499152e+00, 4.81388526e-03, 5.52847376e-04]
, [6.24925366e+00, 1.14237332e+00, 6.39407401e-04, 1.79697873e-05]]"
"[0, 0, 0, 0, 1, 0, 0]","[[8.9436975, 8.68113471, 8.41133173]]","[[0.00000000e+00, 3.56601702e+01, 0.00000000e+00, 3.37814560e-01]
, [1.24831888e+01, 5.17458963e+00, 3.93825090e-03, 7.34019426e-04]
, [7.52904828e+00, 1.72566416e+00, 6.74159585e-04, 3.54869152e-05]]"
"[0, 0, 0, 0, 1, 0, 1]","[[8.94269105, 8.78361222, 8.41481496]]","[[0.00000000e+00, 3.48770467e+01, 0.00000000e+00, 3.37466543e-01]
, [1.42617004e+01, 4.58063109e+00, 5.32653800e-03, 4.95746196e-04]
, [7.47961921e+00, 1.33711990e+00, 8.18422686e-04, 1.76530037e-05]]"
"[0, 0, 0, 0, 1, 1, 0]","[[8.9377093, 8.66412626, 8.40656251]]","[[0.00000000e+00, 5.43396513e+01, 0.00000000e+00, 8.28677888e-01]
, [1.29895754e+01, 3.62244359e+00, 5.12513937e-03, 3.59835654e-04]
, [7.89324371e+00, 1.57963092e+00, 9.43978418e-04, 3.23003056e-05]]"
"[0, 0, 0, 0, 1, 1, 1]","[[8.9378153, 8.6930734, 8.42733916]]","[[0.00000000e+00, 3.08732697e+01, 0.00000000e+00, 2.53415475e-01]
, [1.28647385e+01, 3.58572506e+00, 4.99391119e-03, 3.69974266e-04]
, [7.49675361e+00, 1.89912641e+00, 7.54046199e-04, 4.12242186e-05]]"
"[0, 0, 0, 1, 0, 0, 0]","[[8.93987981, 8.74157853, 8.30071814]]","[[0.00000000e+00, 3.21881490e+01, 0.00000000e+00, 2.71776233e-01]
, [1.35578983e+01, 4.65548667e+00, 5.19940920e-03, 5.72146389e-04]
, [6.81319666e+00, 1.41234637e+00, 6.95799472e-04, 2.37472704e-05]]"
"[0, 0, 0, 1, 0, 0, 1]","[[8.94026985, 8.66743854, 8.34307507]]","[[0.00000000e+00, 3.88518702e+01, 0.00000000e+00, 4.09740751e-01]
, [1.29298364e+01, 5.50988446e+00, 5.06952671e-03, 8.90156010e-04]
, [7.09222420e+00, 1.30436891e+00, 6.52237395e-04, 1.87541208e-05]]"
