"[0, 0, 0, 0, 0]","[[8.92469508, 8.15191998, 7.39759601]]","[[0.00000000e+00, 2.05507708e+01, 0.00000000e+00, 4.49835892e-02]
, [5.28797352e+00, 2.38878897e+00, 1.00487819e-03, 1.68742821e-04]
, [2.09270283e+00, 5.10758451e-01, 9.67897444e-05, 3.66302384e-06]]"
"[0, 0, 0, 0, 1]","[[8.93051277, 8.23683772, 7.48097084]]","[[0.00000000e+00, 1.75446725e+01, 0.00000000e+00, 3.19665032e-02]
, [5.13800734e+00, 2.76399332e+00, 8.00839634e-04, 1.91728054e-04]
, [2.16709539e+00, 5.85974223e-01, 8.07492770e-05, 4.86166802e-06]]"
"[0, 0, 0, 1, 0]","[[8.92593121, 8.2236519, 7.29996784]]","[[0.00000000e+00, 1.89935954e+01, 0.00000000e+00, 3.70262370e-02]
, [5.21941890e+00, 2.36185444e+00, 7.82397670e-04, 1.40657695e-04]
, [1.87923655e+00, 5.32754251e-01, 8.28702536e-05, 4.82225279e-06]]"
"[0, 0, 0, 1, 1]","[[8.92339722, 8.24459549, 7.33887195]]","[[0.00000000e+00, 1.31511969e+01, 0.00000000e+00, 1.67976587e-02]
, [5.62464197e+00, 2.84443835e+00, 1.02380100e-03, 2.42752808e-04]
, [1.86155106e+00, 5.54692570e-01, 6.87848116e-05, 3.98561332e-06]]"
"[0, 0, 1, 0, 0]","[[8.92212059, 8.29964284, 7.32530156]]","[[0.00000000e+00, 2.78276194e+01, 0.00000000e+00, 8.66888275e-02]
, [5.33705021e+00, 2.97676015e+00, 8.19964418e-04, 1.93750645e-04]
, [2.06038000e+00, 5.26771800e-01, 8.67579457e-05, 4.60532980e-06]]"
"[0, 0, 1, 0, 1]","[[8.91985506, 8.12046131, 7.3340197, ]]","[[0.00000000e+00, 1.82242474e+01, 0.00000000e+00, 3.47741054e-02]
, [5.16339229e+00, 1.59485782e+00, 9.22784344e-04, 7.15037918e-05]
, [2.12456320e+00, 5.21628983e-01, 7.91927028e-05, 3.99455255e-06]]"
"[0, 0, 1, 1, 0]","[[8.92135772, 8.22294646, 7.32522196]]","[[0.00000000e+00, 1.61931991e+01, 0.00000000e+00, 2.64453353e-02]
, [5.18915006e+00, 1.74394268e+00, 7.97030516e-04, 7.01582164e-05]
, [2.10511622e+00, 4.49688484e-01, 1.12157061e-04, 3.67584440e-06]]"
"[0, 0, 1, 1, 1]","[[8.92881801, 8.25964624, 7.40367081]]","[[0.00000000e+00, 1.39644999e+01, 0.00000000e+00, 1.97479275e-02]
, [5.25776177e+00, 1.82074174e+00, 8.00862751e-04, 7.99339516e-05]
, [2.18675940e+00, 3.98956534e-01, 1.03522112e-04, 2.17862569e-06]]"
"[0, 0, 2, 0, 0]","[[8.92389969, 8.26243698, 7.43354591]]","[[0.00000000e+00, 1.49286865e+01, 0.00000000e+00, 2.25643245e-02]
, [4.98532311e+00, 1.90309755e+00, 6.41880397e-04, 7.23763731e-05]
, [1.98074103e+00, 5.72373873e-01, 5.62784248e-05, 3.78837609e-06]]"
"[0, 0, 2, 0, 1]","[[8.9211525, 8.21699655, 7.42116453]]","[[0.00000000e+00, 2.39196381e+01, 0.00000000e+00, 6.28742057e-02]
, [5.03178206e+00, 1.83107907e+00, 7.20831213e-04, 7.64417251e-05]
, [1.91193286e+00, 4.49880343e-01, 5.78211179e-05, 2.55573007e-06]]"
